epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
111,1349.43,0.54875,0.45087,2.03783,0.99649,1,0.995,0.8989,0.47579,0.29926,2.03496,0.001274,0.001274,0.001274
112,1361.88,0.50427,0.40721,2.08988,0.99374,1,0.995,0.87796,0.49438,0.32746,2.07432,0.0012674,0.0012674,0.0012674
113,1373.63,0.57737,0.43439,2.16436,0.99565,1,0.995,0.8789,0.58989,0.33307,2.07536,0.0012608,0.0012608,0.0012608
114,1385.67,0.5435,0.43169,2.0863,0.99626,1,0.995,0.89472,0.47968,0.31817,2.107,0.0012542,0.0012542,0.0012542
115,1397.62,0.54959,0.44557,2.14727,0.99634,1,0.995,0.92344,0.48602,0.32985,2.0785,0.0012476,0.0012476,0.0012476
116,1410.18,0.53121,0.47787,2.06578,0.99619,1,0.995,0.91311,0.47709,0.31325,2.07707,0.001241,0.001241,0.001241
117,1421.67,0.51374,0.3997,2.08182,0.99589,1,0.995,0.87332,0.5687,0.33406,2.05056,0.0012344,0.0012344,0.0012344
118,1433.61,0.56658,0.44802,2.24123,0.99641,1,0.995,0.89534,0.4719,0.30125,2.15232,0.0012278,0.0012278,0.0012278
119,1445.79,0.53648,0.40118,2.06735,0.99645,1,0.995,0.91769,0.47902,0.29467,2.09213,0.0012212,0.0012212,0.0012212
120,1457.76,0.60658,0.57605,2.28437,0.99647,1,0.995,0.92833,0.47732,0.29019,2.09999,0.0012146,0.0012146,0.0012146
121,1469.87,0.50887,0.4271,2.09356,0.99657,1,0.995,0.88338,0.56369,0.34257,2.09894,0.001208,0.001208,0.001208
122,1481.95,0.52867,0.42509,2.07641,0.99641,1,0.995,0.86547,0.52697,0.30803,2.11198,0.0012014,0.0012014,0.0012014
123,1494.11,0.51477,0.45845,2.08531,0.99415,1,0.995,0.87828,0.53733,0.30889,2.17696,0.0011948,0.0011948,0.0011948
124,1507.63,0.60768,0.44931,2.28864,0.99531,1,0.995,0.89217,0.50786,0.31208,2.13621,0.0011882,0.0011882,0.0011882
125,1519.82,0.52362,0.42073,2.0737,0.99212,1,0.995,0.88951,0.5043,0.34007,2.11306,0.0011816,0.0011816,0.0011816
126,1532.09,0.54357,0.42712,2.1933,0.9947,1,0.995,0.90688,0.47917,0.28627,2.10731,0.001175,0.001175,0.001175
127,1544,0.56765,0.48453,2.15697,0.99246,1,0.995,0.87634,0.48717,0.31175,2.08246,0.0011684,0.0011684,0.0011684
128,1555.88,0.49294,0.39776,2.05966,0.98112,1,0.995,0.89462,0.51615,0.33891,2.08046,0.0011618,0.0011618,0.0011618
129,1567.61,0.50726,0.41338,2.07789,0.95527,1,0.995,0.88899,0.47264,0.35655,2.05348,0.0011552,0.0011552,0.0011552
130,1579.86,0.47294,0.39785,2.01968,0.93975,1,0.995,0.89806,0.48844,0.37072,2.04832,0.0011486,0.0011486,0.0011486
131,1591.26,0.54882,0.55745,2.24354,0.93785,1,0.99147,0.8828,0.47683,0.36249,2.10838,0.001142,0.001142,0.001142
132,1603.29,0.45112,0.3889,2.09631,0.98688,1,0.995,0.90319,0.46764,0.31351,2.09681,0.0011354,0.0011354,0.0011354
133,1615.43,0.48303,0.38624,2.02462,0.99659,1,0.995,0.90143,0.47979,0.2843,2.07414,0.0011288,0.0011288,0.0011288
134,1627.5,0.51964,0.41997,2.10982,0.99655,1,0.995,0.92844,0.49074,0.29697,2.07306,0.0011222,0.0011222,0.0011222
135,1639.14,0.55781,0.4369,2.13738,0.99643,1,0.995,0.88333,0.52154,0.30744,2.05665,0.0011156,0.0011156,0.0011156
136,1650.81,0.49,0.41348,2.10471,0.99312,1,0.995,0.88398,0.46999,0.30558,2.05876,0.001109,0.001109,0.001109
137,1662.88,0.51024,0.42207,2.1713,0.99637,1,0.995,0.89753,0.46642,0.30919,2.03104,0.0011024,0.0011024,0.0011024
138,1674.31,0.47001,0.39131,1.99551,0.99604,1,0.995,0.8924,0.50597,0.29948,2.01545,0.0010958,0.0010958,0.0010958
139,1686.18,0.45731,0.39301,2.05782,0.99602,1,0.995,0.89882,0.48273,0.29129,2.06148,0.0010892,0.0010892,0.0010892
140,1698.02,0.49276,0.39476,2.09364,0.99651,1,0.995,0.90225,0.46671,0.29938,2.06012,0.0010826,0.0010826,0.0010826
141,1709.92,0.49355,0.39914,2.05635,0.99648,1,0.995,0.89422,0.52659,0.29981,2.05219,0.001076,0.001076,0.001076
142,1721.91,0.49968,0.39335,2.17864,0.99663,1,0.995,0.86788,0.53658,0.29012,2.10132,0.0010694,0.0010694,0.0010694
143,1733.72,0.53846,0.41478,1.96446,0.99661,1,0.995,0.86512,0.50022,0.2925,2.03595,0.0010628,0.0010628,0.0010628
144,1746.75,0.59049,0.41331,2.21216,0.99574,1,0.995,0.9067,0.47187,0.3075,2.07034,0.0010562,0.0010562,0.0010562
145,1758.47,0.50125,0.40722,2.22515,0.99369,1,0.995,0.91311,0.45512,0.29569,2.05754,0.0010496,0.0010496,0.0010496
146,1770.48,0.50557,0.45337,2.15717,0.99531,1,0.995,0.92195,0.42333,0.29136,2.0942,0.001043,0.001043,0.001043
147,1783.6,0.49771,0.40593,2.30295,0.98891,1,0.995,0.93424,0.42506,0.2937,2.06799,0.0010364,0.0010364,0.0010364
148,1798.47,0.45841,0.38336,2.15647,0.98571,1,0.995,0.90808,0.44754,0.32898,2.02552,0.0010298,0.0010298,0.0010298
149,1810.13,0.49092,0.40182,2.14137,0.96239,1,0.995,0.8995,0.49322,0.34387,2.00196,0.0010232,0.0010232,0.0010232
150,1822.38,0.49854,0.41212,2.1691,0.93992,1,0.995,0.89375,0.53336,0.34499,2.02174,0.0010166,0.0010166,0.0010166
151,1834.65,0.51003,0.39422,2.14667,0.99041,1,0.995,0.88705,0.47637,0.29047,2.10535,0.00101,0.00101,0.00101
